Ticker,Ticker_Name
BTC-USD,Bitcoin
ETH-USD,Ethereum
BNB-USD,BinanceCoin
USDT-USD,Tether
SOL1-USD,Solana
ADA-USD,Cardano
XRP-USD,XRP
DOT1-USD,Polkadot
HEX-USD,HEX
DOGE-USD,Dogecoin
USDC-USD,USDCoin
SHIB-USD,SHIBAINU
LUNA1-USD,Terra
AVAX-USD,Avalanche
LTC-USD,Litecoin
LINK-USD,Chainlink
UNI3-USD,Uniswap
BCH-USD,BitcoinCash
ALGO-USD,Algorand
MATIC-USD,MaticNetwork
VET-USD,VeChain
XLM-USD,Stellar
AXS-USD,Axielnfinity
CRO-USD,CryptocomCoin
ICP1-USD,lnternetComputer
TRX-USD,TRON
FIL-USD,FilecoinFutures
ETC-USD,EthereumClassic
ATOM1-USD,Cosmos
THETA-USD,THETA
FTT1-USD,FTXToken
FTM-USD,Fantom
DAI1-USD,Dai
HBAR-USD,HederaHashgraph
EGLD-USD,Elrond
GRT2-USD,TheGraph
XTZ-USD,Tezos
HNT1-USD,Helium
MANA-USD,Decentraland
XMR-USD,Monero
EOS-USD,EOS
CAKE-USD,PancakeSwap
LRC-USD,Loopring
AAVE-USD,Aave
FLOW1-USD,FlowDapperlabs
KSM-USD,Kusama
KDA-USD,Kadena
MIOTA-USD,IOTA
NEO-USD,NEO
BSV-USD,BitcoinSV
RUNE-USD,THORChain
QNT-USD,Quant
ONE2-USD,Harmony
MKR-USD,Maker
CHZ-USD,Chiliz
STX1-USD,Stacks
ZEC-USD,Zcash
WAVES-USD,Waves
AMP1-USD,Amp
BTT1-USD,BitTorrent
ENJ-USD,EnjinCoin
HOT1-USD,Halo
OMG-USD,OmiseGO
DASH-USD,Dash
AR-USD,Arweave
SAND-USD,TheSandbox
CELO-USD,Celo
COMP-USD,Compound
COMP-USD,ThetaFuel
XEM-USD,NEM
IOTX-USD,loTeX
CRV-USD,CurveDAOToken
CTC1-USD,Creditcoin
BAT-USD,BasicAttentionToken
QTUM-USD,Qtum
DCR-USD,Decred
SUSHI-USD,Sushi
ICX-USD,ICON
ZEN-USD,Horizen
RVN-USD,Ravencoin
YFI-USD,yearnfinance
ZIL-USD,Zilliqa
TUSD-USD,TrueUSD
BTG-USD,BitcoinGold
XDC-USD,XinFinNetwork
SNX-USD,SynthetixNetworkToken
OMI-USD,ECOMI
UMA-USD,UMA
BNT-USD,Bancor
ZRX-USD,Ox
CEL-USD,Celsius
DFI-USD,DeFiChain
SC-USD,Siacoin
ANKR-USD,Ankr
WAXP-USD,WAX
CCXX-USD,CounosX
SRM-USD,Serum
ONT-USD,Ontology
DGB-USD,DigiByte
SKL-USD,lsKALENetwork
